Date,Adj Close,Close,High,Low,Open,Volume
02/01/2019,135.2727051,135.6799927,137.5099945,128.5599976,128.9900055,28146200
03/01/2019,131.3445435,131.7400055,137.1699982,131.1199951,134.6900024,22717900
04/01/2019,137.5359039,137.9499969,138,133.75,134.0099945,29002100
07/01/2019,137.6355896,138.0500031,138.8699951,135.9100037,137.5599976,20089300
08/01/2019,142.1021423,142.5299988,143.1399994,139.5399933,139.8899994,26263800
09/01/2019,143.7970276,144.2299957,144.6999969,141.2700043,142.9499969,22205900
10/01/2019,143.7671204,144.1999969,144.5599976,140.8399963,143.0800018,16125000
11/01/2019,143.3683319,143.8000031,145.3600006,142.5700073,143.1499939,12908000
14/01/2019,144.9535675,145.3899994,146.5700073,141.2700043,142,20520300
15/01/2019,148.5028687,148.9499969,150.6799927,145.9900055,146.0099945,24069000
16/01/2019,147.0971222,147.5399933,149.6499939,147,149,18025700
17/01/2019,147.8548279,148.3000031,149,146.5,146.9499969,15787900
18/01/2019,149.5895844,150.0399933,152.4299927,148.5500031,149.75,31029600
22/01/2019,147.1270294,147.5700073,151.5299988,146.3699951,149.1999969,22378700
23/01/2019,143.8668365,144.3000031,148.8000031,143.0599976,148.2799988,20098400
24/01/2019,145.3922424,145.8300018,146.4400024,142.5200043,144.6399994,20955500
25/01/2019,148.5626831,149.0099945,149.8300018,146.5399933,147.4799957,22237200
28/01/2019,147.0273132,147.4700012,148.9600067,146.2100067,148.0500031,15508500
29/01/2019,143.7571716,144.1900024,148.1000061,143.4299927,148.0899963,17632100
30/01/2019,149.9684753,150.4199982,150.9499969,145.6999969,146.2200012,44613200
31/01/2019,166.189621,166.6900024,171.6799927,165,165.6000061,77233600
01/02/2019,165.2125854,165.7100067,169.1000061,165.6600037,165.8399963,30806500
04/02/2019,168.7419281,169.25,169.3000031,163.6199951,165.6999969,20036000
05/02/2019,170.6461945,171.1600037,171.9799957,168.6900024,169.1499939,22557000
06/02/2019,169.9782257,170.4900055,172.4700012,169.2700043,171.1999969,13281200
07/02/2019,165.8805542,166.3800049,169.2400055,165.25,168.1999969,17517600
08/02/2019,166.8276978,167.3300018,167.3699951,164.2100067,164.4700012,12561400
11/02/2019,165.2923279,165.7899933,168.3000031,165.0800018,167.8999939,12811200
12/02/2019,164.5445557,165.0399933,168.3399963,164.5,166.8600006,16292300
13/02/2019,163.5774841,164.0700073,166.2200012,163.7299957,165.3800049,14205100
14/02/2019,163.4578552,163.9499969,164.8699951,162.25,163.1900024,12755200
15/02/2019,162.0121918,162.5,164.6999969,160.8600006,164.5099945,15504400
19/02/2019,161.8028259,162.2899933,164.1499939,160.3300018,160.5,14345400
20/02/2019,162.0720062,162.5599976,163.7200012,161.25,162.25,11770700
21/02/2019,159.5595856,160.0399933,162.2400055,159.5899963,161.9299927,15607800
22/02/2019,161.4040375,161.8899994,162.4100037,160.3099976,160.5800018,15858500
25/02/2019,164.1258392,164.6199951,166.0700073,162.8999939,163.0700073,18737100
26/02/2019,163.6372986,164.1300049,166.2400055,163.8000031,164.3399963,13784100
27/02/2019,162.3212738,162.8099976,163.9299927,160.4100037,162.8999939,12697500
28/02/2019,160.9653473,161.4499969,163.5,160.8600006,162.3699951,11114200
01/03/2019,161.7928619,162.2799988,163.1300049,161.6900024,162.6000061,11097800
04/03/2019,166.867569,167.3699951,167.5,163.8300018,163.8999939,18894700
