Date,Adj Close,Close,High,Low,Open,Volume
02/01/2019,37.75008011,39.47999954,39.71250153,38.55749893,38.72249985,148158800
03/01/2019,33.98989868,35.54750061,36.43000031,35.5,35.99499893,365248800
04/01/2019,35.4408989,37.06499863,37.13750076,35.95000076,36.13249969,234428400
07/01/2019,35.3620224,36.98249817,37.20750046,36.47499847,37.17499924,219111200
08/01/2019,36.03612137,37.6875,37.95500183,37.13000107,37.38999939,164101200
09/01/2019,36.64808273,38.32749939,38.63249969,37.40750122,37.82249832,180396400
10/01/2019,36.76520538,38.45000076,38.49250031,37.71500015,38.125,143122800
11/01/2019,36.40425491,38.07249832,38.42499924,37.87749863,38.22000122,108092800
14/01/2019,35.85683441,37.5,37.81750107,37.30500031,37.71250153,129756800
15/01/2019,36.59071732,38.26750183,38.34749985,37.51250076,37.56750107,114843600
16/01/2019,37.03773117,38.73500061,38.97000122,38.25,38.27000046,122278800
17/01/2019,37.25764847,38.96500015,39.41500092,38.31499863,38.54999924,119284800
18/01/2019,37.48713303,39.20500183,39.47000122,38.99499893,39.375,135004000
22/01/2019,36.64570236,38.32500076,39.18249893,38.15499878,39.10250092,121576000
23/01/2019,36.79389954,38.47999954,38.78499985,37.92499924,38.53749847,92522400
24/01/2019,36.50227356,38.17499924,38.61999893,37.93500137,38.52750015,101766000
25/01/2019,37.71183014,39.43999863,39.53250122,38.58000183,38.86999893,134142000
28/01/2019,37.3628273,39.07500076,39.08250046,38.41500092,38.94749832,104768400
29/01/2019,36.97558212,38.66999817,39.53250122,38.52750015,39.0625,166348800
30/01/2019,39.50228882,41.3125,41.53749847,40.05749893,40.8125,244439200
31/01/2019,39.78676224,41.61000061,42.25,41.13999939,41.52750015,162958400
01/02/2019,39.80588531,41.63000107,42.24499893,41.48249817,41.74000168,130672400
04/02/2019,40.9365654,42.8125,42.91500092,41.81999969,41.85250092,125982000
05/02/2019,41.63696289,43.54499817,43.77000046,43.08750153,43.21500015,144406400
06/02/2019,41.65130997,43.56000137,43.89250183,43.21250153,43.66249847,112958400
07/02/2019,40.86245728,42.73500061,43.48500061,42.58499908,43.09999847,126966800
08/02/2019,40.9104805,42.60250092,42.66500092,42.10499954,42.24750137,95280000
11/02/2019,40.67520142,42.35749817,42.80250168,42.3125,42.76250076,83973600
12/02/2019,41.02570724,42.72249985,42.75,42.42499924,42.52500153,89134000
13/02/2019,40.85525894,42.54499817,43.11999893,42.47999954,42.84749985,89960800
14/02/2019,41.0041008,42.70000076,42.81499863,42.34500122,42.42750168,87342800
15/02/2019,40.91288376,42.60499954,42.92499924,42.4375,42.8125,98507200
19/02/2019,41.03531647,42.73249817,42.86000061,42.37250137,42.42750168,75891200
20/02/2019,41.2993927,43.00749969,43.33000183,42.74750137,42.79750061,104457600
21/02/2019,41.06651306,42.76499939,43.09249878,42.57500076,42.95000076,68998800
22/02/2019,41.52505493,43.24250031,43.25,42.84500122,42.89500046,75652800
25/02/2019,41.82754135,43.55749893,43.96749878,43.48749924,43.54000092,87493600
26/02/2019,41.85155487,43.58250046,43.82500076,43.29249954,43.42750168,68280800
27/02/2019,41.9811821,43.71749878,43.75,43.18249893,43.30250168,111341600
28/02/2019,41.56826782,43.28749847,43.72750092,43.22999954,43.58000183,112861600
01/03/2019,42.00519943,43.74250031,43.78749847,43.22249985,43.56999969,103544800
04/03/2019,42.21646118,43.96250153,44.4375,43.49250031,43.92250061,109744800
05/03/2019,42.13963699,43.88249969,44,43.63499832,43.98500061,78949600
06/03/2019,41.89716339,43.63000107,43.87250137,43.48500061,43.66749954,83241600
07/03/2019,41.41221237,43.125,43.61000061,43.00500107,43.46749878,99185600
08/03/2019,41.51064301,43.22750092,43.26750183,42.375,42.58000183,95997600
11/03/2019,42.94866943,44.72499847,44.77999878,43.83750153,43.87250137,128044000
12/03/2019,43.43121338,45.22750092,45.66749954,44.84249878,45,129870400
13/03/2019,43.62327957,45.42750168,45.82500076,45.22999954,45.5625,124130000
14/03/2019,44.10822296,45.93249893,46.02500153,45.63999939,45.97499847,94318000
15/03/2019,44.68198395,46.52999878,46.83250046,45.93500137,46.21250153,156171600
18/03/2019,45.13811493,47.00500107,47.09749985,46.44749832,46.45000076,104879200
19/03/2019,44.78041458,46.63249969,47.24750137,46.47999954,47.08750153,126585600
20/03/2019,45.17173004,47.04000092,47.37250137,46.18249893,46.55749893,124140800
21/03/2019,46.83542252,48.77249908,49.08250046,47.45249939,47.50500107,204136800
22/03/2019,45.86553574,47.76250076,49.42250061,47.69499969,48.83499908,169630800
25/03/2019,45.31096649,47.18500137,47.99499893,46.65000153,47.87749863,175381200
26/03/2019,44.84282303,46.69749832,48.22000122,46.14500046,47.91500092,199202000
27/03/2019,45.24614334,47.11750031,47.43999863,46.63750076,47.1875,119393600
28/03/2019,45.30617905,47.18000031,47.38999939,46.88249969,47.23749924,83121600
29/03/2019,45.60145569,47.48749924,47.52000046,47.13499832,47.45750046,94256000
01/04/2019,45.91114807,47.81000137,47.91999817,47.09500122,47.90999985,111448000
02/04/2019,46.5785408,48.50500107,48.61500168,47.76250076,47.77249908,91062800
03/04/2019,46.89784241,48.83750153,49.125,48.28749847,48.3125,93087200
04/04/2019,46.97946167,48.92250061,49.09249878,48.28499985,48.69749832,76457200
05/04/2019,47.29396057,49.25,49.27500153,48.98249817,49.11249924,74106400
08/04/2019,48.03817368,50.02500153,50.05749893,49.08499908,49.10499954,103526800
09/04/2019,47.89413071,49.875,50.71250153,49.80749893,50.08000183,143072800
10/04/2019,48.16300964,50.15499878,50.18500137,49.54499817,49.66999817,86781200
11/04/2019,47.76209259,49.73749924,50.25,49.61000061,50.21250153,83603200
12/04/2019,47.7428894,49.71749878,50.03499985,49.05250168,49.79999924,111042800
15/04/2019,47.82931519,49.80749893,49.96250153,49.50249863,49.64500046,70146400
16/04/2019,47.83411789,49.8125,50.34249878,49.63999939,49.86500168,102785600
17/04/2019,48.76558685,50.78250122,50.84500122,49.65250015,49.88499832,115627200
18/04/2019,48.94083786,50.96500015,51.03749847,50.63000107,50.77999878,96783200
22/04/2019,49.10169601,51.13249969,51.23500061,50.58499908,50.70750046,77758000
23/04/2019,49.80990219,51.86999893,51.9375,50.97499847,51.10749817,93292000
24/04/2019,49.73308182,51.79000092,52.11999893,51.76250076,51.84000015,70162400
25/04/2019,49.2817421,51.31999969,51.93999863,51.27999878,51.70750046,74172800
26/04/2019,49.04647446,51.07500076,51.25,50.52999878,51.22499847,74596400
29/04/2019,49.12089157,51.15250015,51.49250031,50.96500015,51.09999847,88818800
30/04/2019,48.17502594,50.16749954,50.84999847,49.77750015,50.76499939,186139600
01/05/2019,50.53971481,52.63000107,53.82749939,52.30749893,52.47000122,259309200
02/05/2019,50.21081924,52.28749847,53.16249847,52.03250122,52.45999908,127985200
03/05/2019,50.8350029,52.9375,52.95999908,52.55749893,52.72249985,83569600
06/05/2019,50.04997253,52.11999893,52.20999908,50.875,51.07249832,129772400
07/05/2019,48.70077515,50.71500015,51.85499954,50.20750046,51.47000122,155054800
08/05/2019,48.7103653,50.72499847,51.33499908,50.4375,50.47499847,105358000
09/05/2019,48.18702316,50.18000031,50.41999817,49.16500092,50.09999847,139634400
10/05/2019,47.51945496,49.29499817,49.71250153,48.19250107,49.35499954,164834800
13/05/2019,44.7576561,46.43000031,47.36999893,45.71250153,46.92750168,229722400
14/05/2019,45.46618271,47.16500092,47.42499924,46.35250092,46.60250092,146118800
15/05/2019,46.01082993,47.72999954,47.9375,46.50500107,46.56750107,106178800
16/05/2019,45.80840302,47.52000046,48.11750031,47.20999908,47.47750092,132125600
17/05/2019,45.54811478,47.25,47.72499847,46.68999863,46.73249817,131516400
20/05/2019,44.12382889,45.77249908,46.08750153,45.06999969,45.88000107,154449200
21/05/2019,44.96973419,46.65000153,47,46.17499924,46.30500031,113459200
22/05/2019,44.0491333,45.69499969,46.42750168,45.63750076,46.16500092,118994400
23/05/2019,43.29722977,44.91500092,45.13499832,44.45249939,44.95000076,146118800
24/05/2019,43.13093948,44.74250031,45.53499985,44.65499878,45.04999924,94858800
28/05/2019,42.9526062,44.55749893,45.14749908,44.47750092,44.72999954,111792800
29/05/2019,42.74776077,44.34500122,44.83750153,44,44.10499954,113924800
30/05/2019,42.96947861,44.57500076,44.80749893,44.16749954,44.48749924,84873600
31/05/2019,42.19106293,43.76750183,44.49750137,43.74750137,44.05749893,108174400
03/06/2019,41.76449585,43.32500076,44.47999954,42.56750107,43.90000153,161584400
04/06/2019,43.2924118,44.90999985,44.95750046,43.63000107,43.86000061,123872000
05/06/2019,43.99129486,45.63499832,46.24750137,45.28499985,46.06999969,119093600
06/06/2019,44.63716125,46.30500031,46.36750031,45.53749847,45.77000046,90105200
07/06/2019,45.82526398,47.53749847,47.97999954,46.44250107,46.62749863,122737600
10/06/2019,46.41088104,48.14500046,48.84249878,47.90499878,47.95249939,104883600
11/06/2019,46.94829941,48.70249939,49,48.40000153,48.71500015,107731600
12/06/2019,46.79888535,48.54750061,48.99250031,48.34749985,48.48749924,73012800
13/06/2019,46.78923798,48.53749847,49.19749832,48.40000153,48.67499924,86698400
14/06/2019,46.44944382,48.18500137,48.39749908,47.57500076,47.88750076,75046000
17/06/2019,46.72657776,48.47249985,48.74000168,48.04249954,48.22499847,58676400
18/06/2019,47.82552338,49.61249924,50.07249832,48.80250168,49.01250076,106204000
19/06/2019,47.68574905,49.46749878,49.97000122,49.32749939,49.91999817,84496800
20/06/2019,48.06893539,49.86500168,50.15250015,49.50749969,50.09249878,86056000
21/06/2019,47.90505219,49.69499969,50.21250153,49.53749847,49.70000076,191202400
24/06/2019,47.85686874,49.64500046,50.04000092,49.54249954,49.63499832,72881600
