Date,Adj Close,Close,High,Low,Open,Volume
02/01/2019,52.60374832,52.73400116,53.03950119,51.26399994,51.36000061,31868000
03/01/2019,51.14685059,51.27349854,53.31299973,51.11849976,52.53350067,41960000
04/01/2019,53.77035522,53.9034996,54,51.8429985,52.12799835,46022000
07/01/2019,53.66312408,53.79600143,54.13499832,53.13199997,54.04850006,47446000
08/01/2019,54.13445663,54.26850128,54.66749954,53.41749954,54.29999924,35414000
09/01/2019,53.94891357,54.08250046,54.58200073,53.71849823,54.3995018,26998000
10/01/2019,53.80826187,53.94150162,53.9905014,53.23400116,53.74700165,26598000
11/01/2019,53.0920372,53.2234993,53.66849899,52.82149887,53.49499893,30864000
14/01/2019,52.44563675,52.57550049,52.92250061,52.42750168,52.66699982,28490000
15/01/2019,54.1913147,54.32550049,54.41350174,52.72200012,52.90050125,37518000
16/01/2019,54.34094238,54.4754982,55.11800003,54.40050125,54.5,38280000
17/01/2019,54.82025909,54.95600128,55.03499985,54.1629982,54.3995018,24896000
18/01/2019,55.2282486,55.36500168,55.90000153,54.9640007,55.42950058,44892000
22/01/2019,53.79828644,53.93149948,54.94850159,53.54449844,54.79999924,39632000
23/01/2019,54.08657074,54.22050095,54.64749908,53.37850189,54.3429985,25194000
24/01/2019,54.06612396,54.20000076,54.40000153,53.50099945,54.12549973,29114000
25/01/2019,54.93946075,55.07550049,55.16799927,54.59000015,54.71149826,23260000
28/01/2019,53.8596344,53.99300003,54.66849899,53.73049927,54.50350189,29334000
29/01/2019,53.37084579,53.50299835,54.23649979,53.30099869,54.05199814,19704000
30/01/2019,54.76389694,54.8995018,54.97600174,53.83200073,53.86800003,29452000
31/01/2019,56.15544891,56.29449844,56.38349915,55.26250076,55.61199951,40232000
01/02/2019,55.79284668,55.93099976,56.72000122,55.71250153,56.11449814,33116000
04/02/2019,56.93003082,57.07099915,57.11700058,55.87549973,55.95050049,78408000
05/02/2019,57.45124054,57.59349823,57.63850021,56.18000031,56.48149872,82296000
06/02/2019,56.00582123,56.14450073,57.70000076,55.91799927,57.46350098,48256000
07/02/2019,55.15892029,55.29550171,55.59949875,54.67950058,55.5909996,38298000
08/02/2019,54.98285294,55.11899948,55.25500107,54.7120018,54.74399948,21766000
11/02/2019,54.96988678,55.10599899,55.67150116,55,55.1875,18498000
12/02/2019,56.23974228,56.37900162,56.64300156,55.55049896,55.55049896,35036000
13/02/2019,56.29211044,56.43149948,57.14250183,56.29999924,56.65200043,28042000
14/02/2019,56.32053757,56.45999908,56.80649948,55.85449982,56.25,21106000
15/02/2019,55.84322357,55.98149872,56.96500015,55.83599854,56.96500015,27826000
19/02/2019,56.18637466,56.32550049,56.48199844,55.83200073,55.83200073,21980000
20/02/2019,55.89110565,56.02949905,56.54650116,55.58750153,56.44400024,24090000
21/02/2019,55.07412338,55.21049881,55.95750046,54.89899826,55.93899918,33272000
22/02/2019,55.69010162,55.82799911,55.86249924,55.02500153,55.48500061,29436000
25/02/2019,55.728508,55.86650085,56.27000046,55.70550156,56.0965004,26208000
26/02/2019,55.96192551,56.1004982,56.3219986,55.33499908,55.71849823,35026000
27/02/2019,56.00582123,56.14450073,56.28649902,55.4280014,55.70050049,22092000
