,Date,Adj Close,Close,High,Low,Open,Volume,MA50,MA200,Previous day closing price,Change in price,Percent change in price,Previous day volume,Change in volue,Percent change in volume
0,02/01/2019,52.60374832,52.73400116,53.03950119,51.26399994,51.36000061,31868000,,,,,,,,
1,03/01/2019,51.14685059,51.27349854,53.31299973,51.11849976,52.53350067,41960000,,,52.73400116,-1.4605026199999998,-0.02769565342801683,31868000.0,10092000.0,0.31668131040542247
2,04/01/2019,53.77035522,53.9034996,54.0,51.8429985,52.12799835,46022000,,,51.27349854,2.630001060000005,0.05129357533401513,41960000.0,4062000.0,0.09680648236415634
3,07/01/2019,53.66312408,53.79600143,54.13499832,53.13199997,54.04850006,47446000,,,53.9034996,-0.10749817000000661,-0.001994270702231127,46022000.0,1424000.0,0.030941723523532305
4,08/01/2019,54.13445663,54.26850128,54.66749954,53.41749954,54.29999924,35414000,,,53.79600143,0.4724998500000055,0.00878317788385874,47446000.0,-12032000.0,-0.253593558993382
5,09/01/2019,53.94891357,54.08250046,54.58200073,53.71849823,54.3995018,26998000,,,54.26850128,-0.18600082000000384,-0.0034274176661029943,35414000.0,-8416000.0,-0.2376461286496866
6,10/01/2019,53.80826187,53.94150162,53.9905014,53.23400116,53.74700165,26598000,,,54.08250046,-0.14099884000000174,-0.0026071065280032224,26998000.0,-400000.0,-0.014815912289799282
7,11/01/2019,53.0920372,53.2234993,53.66849899,52.82149887,53.49499893,30864000,,,53.94150162,-0.7180023199999965,-0.013310758848689153,26598000.0,4266000.0,0.16038799909767643
8,14/01/2019,52.44563675,52.57550049,52.92250061,52.42750168,52.66699982,28490000,,,53.2234993,-0.6479988099999971,-0.01217505084262649,30864000.0,-2374000.0,-0.0769180922757906
9,15/01/2019,54.1913147,54.32550049,54.41350174,52.72200012,52.90050125,37518000,,,52.57550049,1.75,0.03328546535344645,28490000.0,9028000.0,0.316883116883117
10,16/01/2019,54.34094238,54.4754982,55.11800003,54.40050125,54.5,38280000,,,54.32550049,0.14999770999999384,0.0027610920957388263,37518000.0,762000.0,0.020310251079481922
11,17/01/2019,54.82025909,54.95600128,55.03499985,54.1629982,54.3995018,24896000,,,54.4754982,0.4805030800000054,0.008820535761525194,38280000.0,-13384000.0,-0.3496342737722048
12,18/01/2019,55.2282486,55.36500168,55.90000153,54.9640007,55.42950058,44892000,,,54.95600128,0.4090003999999965,0.007442324595564154,24896000.0,19996000.0,0.8031812339331619
13,22/01/2019,53.79828644,53.93149948,54.94850159,53.54449844,54.79999924,39632000,,,55.36500168,-1.4335021999999995,-0.025891847855173733,44892000.0,-5260000.0,-0.11717009712198168
14,23/01/2019,54.08657074,54.22050095,54.64749908,53.37850189,54.3429985,25194000,,,53.93149948,0.2890014700000023,0.005358676706312959,39632000.0,-14438000.0,-0.36430157448526446
15,24/01/2019,54.06612396,54.20000076,54.40000153,53.50099945,54.12549973,29114000,,,54.22050095,-0.020500189999999918,-0.00037808927694904515,25194000.0,3920000.0,0.15559260141303488
16,25/01/2019,54.93946075,55.07550049,55.16799927,54.59000015,54.71149826,23260000,,,54.20000076,0.8754997300000014,0.016153131323314085,29114000.0,-5854000.0,-0.20107164937830602
17,28/01/2019,53.8596344,53.99300003,54.66849899,53.73049927,54.50350189,29334000,,,55.07550049,-1.0825004600000057,-0.01965484562771347,23260000.0,6074000.0,0.2611349957007738
18,29/01/2019,53.37084579,53.50299835,54.23649979,53.30099869,54.05199814,19704000,,,53.99300003,-0.4900016799999989,-0.009075281605536611,29334000.0,-9630000.0,-0.32828799345469417
19,30/01/2019,54.76389694,54.8995018,54.97600174,53.83200073,53.86800003,29452000,,,53.50299835,1.3965034500000044,0.026101405399086453,19704000.0,9748000.0,0.49472188388144533
20,31/01/2019,56.15544891,56.29449844,56.38349915,55.26250076,55.61199951,40232000,,,54.8995018,1.3949966399999951,0.025410005451087736,29452000.0,10780000.0,0.3660192856172755
21,01/02/2019,55.79284668,55.93099976,56.72000122,55.71250153,56.11449814,33116000,,,56.29449844,-0.3634986799999993,-0.00645709065846678,40232000.0,-7116000.0,-0.1768741300457347
22,04/02/2019,56.93003082,57.07099915,57.11700058,55.87549973,55.95050049,78408000,,,55.93099976,1.1399993899999998,0.020382245890324446,33116000.0,45292000.0,1.367677255707211
23,05/02/2019,57.45124054,57.59349823,57.63850021,56.18000031,56.48149872,82296000,,,57.07099915,0.5224990800000029,0.009155246758983715,78408000.0,3888000.0,0.04958677685950419
24,06/02/2019,56.00582123,56.14450073,57.70000076,55.91799927,57.46350098,48256000,,,57.59349823,-1.4489975000000044,-0.025159046498850035,82296000.0,-34040000.0,-0.41362885194906196
