,Date,Adj Close,Close,High,Low,Open,Volume,MA50,MA200,Previous day closing price,Change in price,Percent change in price,Previous day volume,Change in volue,Percent change in volume
16,25/01/2019,148.5626831,149.0099945,149.8300018,146.5399933,147.4799957,22237200,,,145.8300018,3.179992700000014,0.02180616238598998,20955500.0,1281700.0,0.06116294051680948
17,28/01/2019,147.0273132,147.4700012,148.9600067,146.2100067,148.0500031,15508500,,,149.0099945,-1.539993299999992,-0.010334832271938543,22237200.0,-6728700.0,-0.3025875559872646
18,29/01/2019,143.7571716,144.1900024,148.1000061,143.4299927,148.0899963,17632100,,,147.4700012,-3.2799988000000155,-0.022241803575709262,15508500.0,2123600.0,0.13693136022181385
19,30/01/2019,149.9684753,150.4199982,150.9499969,145.6999969,146.2200012,44613200,,,144.1900024,6.229995800000012,0.04320684996396129,17632100.0,26981100.0,1.530226121675807
20,31/01/2019,166.189621,166.6900024,171.6799927,165.0,165.6000061,77233600,,,150.4199982,16.27000419999999,0.10816383722041545,44613200.0,32620400.0,0.7311826992907928
21,01/02/2019,165.2125854,165.7100067,169.1000061,165.6600037,165.8399963,30806500,,,166.6900024,-0.9799956999999893,-0.00587915103419534,77233600.0,-46427100.0,-0.6011256758716413
22,04/02/2019,168.7419281,169.25,169.3000031,163.6199951,165.6999969,20036000,,,165.7100067,3.539993299999992,0.021362580151292665,30806500.0,-10770500.0,-0.3496177754694626
23,05/02/2019,170.6461945,171.1600037,171.9799957,168.6900024,169.1499939,22557000,,,169.25,1.9100037000000043,0.011285103101920324,20036000.0,2521000.0,0.12582351766819722
24,06/02/2019,169.9782257,170.4900055,172.4700012,169.2700043,171.1999969,13281200,,,171.1600037,-0.6699982000000091,-0.003914455395632843,22557000.0,-9275800.0,-0.4112160305005098
25,07/02/2019,165.8805542,166.3800049,169.2400055,165.25,168.1999969,17517600,,,170.4900055,-4.110000600000006,-0.024106988488542314,13281200.0,4236400.0,0.3189772008553444
26,08/02/2019,166.8276978,167.3300018,167.3699951,164.2100067,164.4700012,12561400,,,166.3800049,0.9499969000000021,0.0057098020917296655,17517600.0,-4956200.0,-0.2829268849614103
27,11/02/2019,165.2923279,165.7899933,168.3000031,165.0800018,167.8999939,12811200,,,167.3300018,-1.540008499999999,-0.009203421283893176,12561400.0,249800.0,0.01988631840399946
28,12/02/2019,164.5445557,165.0399933,168.3399963,164.5,166.8600006,16292300,,,165.7899933,-0.75,-0.004523795345373283,12811200.0,3481100.0,0.27172317971774707
29,13/02/2019,163.5774841,164.0700073,166.2200012,163.7299957,165.3800049,14205100,,,165.0399933,-0.9699860000000058,-0.005877278474174519,16292300.0,-2087200.0,-0.12810959778545694
30,14/02/2019,163.4578552,163.9499969,164.8699951,162.25,163.1900024,12755200,,,164.0700073,-0.12001039999998397,-0.0007314584912557764,14205100.0,-1449900.0,-0.10206897522720715
