,Date,Adj Close,Close,High,Low,Open,Volume,MA50,MA200,Previous day closing price,Change in price,Percent change in price,Previous day volume,Change in volue,Percent change in volume
0,02/01/2019,37.75008011,39.47999954,39.71250153,38.55749893,38.72249985,148158800,,,,,,,,
1,03/01/2019,33.98989868,35.54750061,36.43000031,35.5,35.99499893,365248800,,,39.47999954,-3.9324989300000013,-0.09960737020819133,148158800.0,217090000.0,1.4652521483705323
2,04/01/2019,35.4408989,37.06499863,37.13750076,35.95000076,36.13249969,234428400,,,35.54750061,1.517498019999998,0.04268930287529438,365248800.0,-130820400.0,-0.3581679118452956
3,07/01/2019,35.3620224,36.98249817,37.20750046,36.47499847,37.17499924,219111200,,,37.06499863,-0.08250045999999855,-0.0022258319991741438,234428400.0,-15317200.0,-0.06533849994283969
4,08/01/2019,36.03612137,37.6875,37.95500183,37.13000107,37.38999939,164101200,,,36.98249817,0.7050018300000005,0.019063120797282895,219111200.0,-55010000.0,-0.25105973587840325
5,09/01/2019,36.64808273,38.32749939,38.63249969,37.40750122,37.82249832,180396400,,,37.6875,0.6399993899999998,0.016981741691542318,164101200.0,16295200.0,0.09929970042875991
6,10/01/2019,36.76520538,38.45000076,38.49250031,37.71500015,38.125,143122800,,,38.32749939,0.12250137000000194,0.003196174338260249,180396400.0,-37273600.0,-0.20662053123011326
7,11/01/2019,36.40425491,38.07249832,38.42499924,37.87749863,38.22000122,108092800,,,38.45000076,-0.37750244000000066,-0.009818008648590726,143122800.0,-35030000.0,-0.2447548538737364
8,14/01/2019,35.85683441,37.5,37.81750107,37.30500031,37.71250153,129756800,,,38.07249832,-0.5724983200000011,-0.015037056806415539,108092800.0,21664000.0,0.20042037952574088
9,15/01/2019,36.59071732,38.26750183,38.34749985,37.51250076,37.56750107,114843600,,,37.5,0.7675018300000005,0.020466715466666674,129756800.0,-14913200.0,-0.11493193420306291
10,16/01/2019,37.03773117,38.73500061,38.97000122,38.25,38.27000046,122278800,,,38.26750183,0.46749877999999967,0.01221660044799422,114843600.0,7435200.0,0.06474196211195049
11,17/01/2019,37.25764847,38.96500015,39.41500092,38.31499863,38.54999924,119284800,,,38.73500061,0.22999954000000145,0.005937770398295017,122278800.0,-2994000.0,-0.024485029293712435
